employeeId,firstName,lastName,position,basicSalary,flagged,username,password,role,payrollId,month,payBasicSalary,deductions,netPay,payStatus
,,,,,,admin,admin123,Admin
1,John,Doe,Teacher,30000.0,0,John,John123,Employee,1,2026-05,30000.0,2000.0,28000.0,Pending
2,Jane,Smith,Accountant,35000.0,1,Jane,Jane123,Employee,2,2026-05,35000.0,2500.0,32500.0,Pending
4,Anna,Cruz,HR,28000.0,0,Anna,Anna123,Employee,4,2026-05,28000.0,1866.67,26133.33,Pending
5,Mark,Lee,Developer,42000.0,0,Mark,Mark123,Employee,5,2026-05,42000.0,2800.0,39200.0,Pending
6,Paula,Reyes,Designer,31000.0,0,Paula,Paula123,Employee,6,2026-05,31000.0,2066.67,28933.33,Pending
7,Chris,Tan,Support,27000.0,0,Chris,Chris123,Employee,7,2026-05,27000.0,1800.0,25200.0,Pending
8,Sam,Yu,QA,32000.0,0,Sam,Sam123,Employee,8,2026-05,32000.0,2133.33,29866.67,Pending
9,Kim,Lim,Analyst,34000.0,0,Kim,Kim123,Employee,9,2026-05,34000.0,2266.67,31733.33,Pending
10,Alex,Go,Manager,60000.0,0,Alex,Alex123,Employee,10,2026-05,60000.0,4000.0,56000.0,Pending
11,Faith,Ong,Clerk,25000.0,0,Faith,Faith123,Employee,11,2026-05,25000.0,1666.67,23333.33,Pending
12,Leo,Sy,Technician,29000.0,0,Leo,Leo123,Employee,12,2026-05,29000.0,1933.33,27066.67,Pending
13,Joyce,Chua,Receptionist,23000.0,0,Joyce,Joyce123,Employee,13,2026-05,23000.0,1533.33,21466.67,Pending
14,Eric,Dee,Driver,20000.0,0,Eric,Eric123,Employee,14,2026-05,20000.0,1333.33,18666.67,Pending
15,Grace,Uy,Janitor,18000.0,0,Grace,Grace123,Employee,15,2026-05,18000.0,1200.0,16800.0,Pending
16,Neil,Co,Security,21000.0,0,Neil,Neil123,Employee,16,2026-05,21000.0,1400.0,19600.0,Pending
17,Olive,Lao,Trainer,33000.0,0,Olive,Olive123,Employee,17,2026-05,33000.0,2200.0,30800.0,Pending
18,Pat,Santos,Consultant,55000.0,0,Pat,Pat123,Employee,18,2026-05,55000.0,3666.67,51333.33,Pending
19,Matt,Chan,Auditor,37000.0,0,Matt,Matt123,Employee,19,2026-05,37000.0,2466.67,34533.33,Pending
20,Bea,Lim,Assistant,26000.0,0,Bea,Bea123,Employee,20,2026-05,26000.0,1733.33,24266.67,Pending
21,Rob,Ong,Supervisor,38000.0,0,Rob,Rob123,Employee,21,2026-05,38000.0,2533.33,35466.67,Pending
22,Jean,Sy,Accountant,35000.0,0,Jean,Jean123,Employee,22,2026-05,35000.0,2333.33,32666.67,Pending
23,Tim,Yap,Developer,42000.0,0,Tim,Tim123,Employee,23,2026-05,42000.0,2800.0,39200.0,Pending
24,Ina,Cruz,HR,28000.0,0,Ina,Ina123,Employee,24,2026-05,28000.0,1866.67,26133.33,Pending
25,Max,Lee,Developer,42000.0,0,Max,Max123,Employee,25,2026-05,42000.0,2800.0,39200.0,Pending
26,Elle,Reyes,Designer,31000.0,0,Elle,Elle123,Employee,26,2026-05,31000.0,2066.67,28933.33,Pending
27,Dan,Tan,Support,27000.0,0,Dan,Dan123,Employee,27,2026-05,27000.0,1800.0,25200.0,Pending
28,Tom,Yu,QA,32000.0,0,Tom,Tom123,Employee,28,2026-05,32000.0,2133.33,29866.67,Pending
29,May,Lim,Analyst,34000.0,0,May,May123,Employee,29,2026-05,34000.0,2266.67,31733.33,Pending
30,Jan,Go,Manager,60000.0,0,Jan,Jan123,Employee,30,2026-05,60000.0,4000.0,56000.0,Pending
3,Bryll,Pon,Engineer,15000.0,1,Bryll,Bryll123,Employee,3,2026-05,15000.0,1000.0004999999999,13999.9995,Pending
31,Hans,Trailblazer,Engineer,30000.0,0,Hans,wew123,Employee,31,2026-05,30000.0,2000.0009999999997,27999.999,Pending
