username,password,role
admin,admin123,Admin
emp1,emp123,Employee
emp2,emp234,Employee
emp3,emp123,Employee
emp4,emp123,Employee
emp5,emp123,Employee
emp6,emp123,Employee
emp7,emp123,Employee
emp8,emp123,Employee
emp9,emp123,Employee
emp10,emp123,Employee
emp11,emp123,Employee
emp12,emp123,Employee
emp13,emp123,Employee
emp14,emp123,Employee
emp15,emp123,Employee
emp16,emp123,Employee
emp17,emp123,Employee
emp18,emp123,Employee
emp19,emp123,Employee
emp20,emp123,Employee
emp21,emp123,Employee
emp22,emp123,Employee
emp23,emp123,Employee
emp24,emp123,Employee
emp25,emp123,Employee
emp26,emp123,Employee
emp27,emp123,Employee
emp28,emp123,Employee
emp29,emp123,Employee
emp30,emp123,Employee
